feature,catboost,mean_importance,max_importance,min_importance,std_importance,vote_count,rank,cumulative_mean
ad_line,5.752153342203465,5.752153342203465,5.752153342203465,5.752153342203465,,1,1,5.752153342203465
obv_sma,4.180832523485897,4.180832523485897,4.180832523485897,4.180832523485897,,1,2,9.932985865689362
price_above_ma200_pct,4.1619029591382715,4.1619029591382715,4.1619029591382715,4.1619029591382715,,1,3,14.094888824827635
price_52w_low,3.986236309466144,3.986236309466144,3.986236309466144,3.986236309466144,,1,4,18.081125134293778
stock_vs_spy_ratio,3.847760884064607,3.847760884064607,3.847760884064607,3.847760884064607,,1,5,21.928886018358384
vwap,3.7703615821303686,3.7703615821303686,3.7703615821303686,3.7703615821303686,,1,6,25.699247600488754
stock_vs_spy_volatility,3.3498837612211276,3.3498837612211276,3.3498837612211276,3.3498837612211276,,1,7,29.049131361709883
spy_rsi_lag5,3.139692072212307,3.139692072212307,3.139692072212307,3.139692072212307,,1,8,32.18882343392219
obv,2.2772590487880637,2.2772590487880637,2.2772590487880637,2.2772590487880637,,1,9,34.46608248271025
spy_rsi,2.18626159366578,2.18626159366578,2.18626159366578,2.18626159366578,,1,10,36.65234407637603
momentum_60d,2.142545981654591,2.142545981654591,2.142545981654591,2.142545981654591,,1,11,38.794890058030624
atr_normalized_lag5,2.0478632607988967,2.0478632607988967,2.0478632607988967,2.0478632607988967,,1,12,40.84275331882952
spy_return_20d,1.8234460859395778,1.8234460859395778,1.8234460859395778,1.8234460859395778,,1,13,42.6661994047691
natr_lag5,1.7915204057893301,1.7915204057893301,1.7915204057893301,1.7915204057893301,,1,14,44.45771981055843
ma_long_slope,1.6129946737496532,1.6129946737496532,1.6129946737496532,1.6129946737496532,,1,15,46.070714484308084
insider_sell_value_30d,1.5053297815353683,1.5053297815353683,1.5053297815353683,1.5053297815353683,,1,16,47.57604426584345
volatility_20d,1.4803341626133617,1.4803341626133617,1.4803341626133617,1.4803341626133617,,1,17,49.05637842845681
insider_buy_volume_30d,1.374003315832156,1.374003315832156,1.374003315832156,1.374003315832156,,1,18,50.430381744288965
ma_200,1.2810109741863207,1.2810109741863207,1.2810109741863207,1.2810109741863207,,1,19,51.71139271847529
atr_ratio_10d,1.2803418021801363,1.2803418021801363,1.2803418021801363,1.2803418021801363,,1,20,52.99173452065543
insider_sell_count_30d,1.25705373650082,1.25705373650082,1.25705373650082,1.25705373650082,,1,21,54.24878825715625
spy_rsi_lag3,1.1917241804180327,1.1917241804180327,1.1917241804180327,1.1917241804180327,,1,22,55.440512437574284
natr_lag3,1.1520391190389212,1.1520391190389212,1.1520391190389212,1.1520391190389212,,1,23,56.5925515566132
tp_volume,1.147121674828458,1.147121674828458,1.147121674828458,1.147121674828458,,1,24,57.73967323144166
sma_200,1.1461475870492057,1.1461475870492057,1.1461475870492057,1.1461475870492057,,1,25,58.88582081849086
ma_50_above_200,1.1346598625283715,1.1346598625283715,1.1346598625283715,1.1346598625283715,,1,26,60.02048068101924
natr,1.0926921134487264,1.0926921134487264,1.0926921134487264,1.0926921134487264,,1,27,61.113172794467964
adx,1.0522331703289987,1.0522331703289987,1.0522331703289987,1.0522331703289987,,1,28,62.16540596479696
insider_buy_value_30d,1.0281615590796358,1.0281615590796358,1.0281615590796358,1.0281615590796358,,1,29,63.193567523876595
spy_rsi_lag1,0.9750195513110318,0.9750195513110318,0.9750195513110318,0.9750195513110318,,1,30,64.16858707518763
spy_rsi_lag2,0.9429883768251308,0.9429883768251308,0.9429883768251308,0.9429883768251308,,1,31,65.11157545201276
insider_buy_count_30d,0.9108798981581943,0.9108798981581943,0.9108798981581943,0.9108798981581943,,1,32,66.02245535017096
aroon_osc,0.9086059466709748,0.9086059466709748,0.9086059466709748,0.9086059466709748,,1,33,66.93106129684193
rsi_vs_spy_lag5,0.8317849074476984,0.8317849074476984,0.8317849074476984,0.8317849074476984,,1,34,67.76284620428963
market_regime_bear,0.7971638091242033,0.7971638091242033,0.7971638091242033,0.7971638091242033,,1,35,68.56001001341383
insider_sentiment_30d,0.7784228473552673,0.7784228473552673,0.7784228473552673,0.7784228473552673,,1,36,69.3384328607691
atr_normalized,0.7543718023167831,0.7543718023167831,0.7543718023167831,0.7543718023167831,,1,37,70.09280466308589
natr_lag2,0.7529149659779915,0.7529149659779915,0.7529149659779915,0.7529149659779915,,1,38,70.84571962906388
spy_return_5d,0.7493958915592019,0.7493958915592019,0.7493958915592019,0.7493958915592019,,1,39,71.59511552062308
insider_net_buy_ratio_30d,0.7470880354028776,0.7470880354028776,0.7470880354028776,0.7470880354028776,,1,40,72.34220355602596
market_regime_bull,0.6908964562612524,0.6908964562612524,0.6908964562612524,0.6908964562612524,,1,41,73.03310001228722
atr_lag5,0.6304713015386655,0.6304713015386655,0.6304713015386655,0.6304713015386655,,1,42,73.66357131382588
stock_vs_spy_momentum,0.6274636079653011,0.6274636079653011,0.6274636079653011,0.6274636079653011,,1,43,74.29103492179118
macd_signal_lag5,0.6062291233675929,0.6062291233675929,0.6062291233675929,0.6062291233675929,,1,44,74.89726404515878
ppo,0.5891349229824032,0.5891349229824032,0.5891349229824032,0.5891349229824032,,1,45,75.48639896814119
stock_vs_spy_5d,0.5223099738291619,0.5223099738291619,0.5223099738291619,0.5223099738291619,,1,46,76.00870894197035
insider_value_unusual_80,0.5178635514005561,0.5178635514005561,0.5178635514005561,0.5178635514005561,,1,47,76.5265724933709
bb_width_lag5,0.48403645500901427,0.48403645500901427,0.48403645500901427,0.48403645500901427,,0,48,77.01060894837993
natr_lag1,0.4797440603784752,0.4797440603784752,0.4797440603784752,0.4797440603784752,,0,49,77.4903530087584
plus_di,0.4495583814723739,0.4495583814723739,0.4495583814723739,0.4495583814723739,,0,50,77.93991139023078
adosc,0.43955500330654806,0.43955500330654806,0.43955500330654806,0.43955500330654806,,0,51,78.37946639353733
atr_normalized_lag3,0.42603289165722086,0.42603289165722086,0.42603289165722086,0.42603289165722086,,0,52,78.80549928519454
kc_lower,0.42142370111057015,0.42142370111057015,0.42142370111057015,0.42142370111057015,,0,53,79.22692298630511
minus_di,0.4156393316454129,0.4156393316454129,0.4156393316454129,0.4156393316454129,,0,54,79.64256231795052
bb_width,0.4148927485705418,0.4148927485705418,0.4148927485705418,0.4148927485705418,,0,55,80.05745506652106
volatility_10d,0.41368829508247296,0.41368829508247296,0.41368829508247296,0.41368829508247296,,0,56,80.47114336160354
atr_normalized_lag2,0.4104932156037523,0.4104932156037523,0.4104932156037523,0.4104932156037523,,0,57,80.88163657720729
atr,0.38664328661578895,0.38664328661578895,0.38664328661578895,0.38664328661578895,,0,58,81.26827986382308
kc_upper,0.362229290672696,0.362229290672696,0.362229290672696,0.362229290672696,,0,59,81.63050915449578
price_above_ma50_pct,0.3492907867663678,0.3492907867663678,0.3492907867663678,0.3492907867663678,,0,60,81.97979994126216
volatility_ratio,0.34865331874757527,0.34865331874757527,0.34865331874757527,0.34865331874757527,,0,61,82.32845326000974
ma_20_above_50,0.34689045608832336,0.34689045608832336,0.34689045608832336,0.34689045608832336,,0,62,82.67534371609806
atr_normalized_lag1,0.32293211304479835,0.32293211304479835,0.32293211304479835,0.32293211304479835,,0,63,82.99827582914286
market_regime_correction,0.3108303341837702,0.3108303341837702,0.3108303341837702,0.3108303341837702,,0,64,83.30910616332663
insider_buy_unusual_80,0.3020661385844547,0.3020661385844547,0.3020661385844547,0.3020661385844547,,0,65,83.61117230191108
ma_50,0.2984463133817567,0.2984463133817567,0.2984463133817567,0.2984463133817567,,0,66,83.90961861529284
insider_sell_unusual_80,0.29416997898011676,0.29416997898011676,0.29416997898011676,0.29416997898011676,,0,67,84.20378859427296
volatility_contraction,0.2907537365034359,0.2907537365034359,0.2907537365034359,0.2907537365034359,,0,68,84.4945423307764
rsi_vs_spy,0.28562127232324597,0.28562127232324597,0.28562127232324597,0.28562127232324597,,0,69,84.78016360309964
atr_lag2,0.2844127728129127,0.2844127728129127,0.2844127728129127,0.2844127728129127,,0,70,85.06457637591255
bb_lower_lag5,0.28183199101198453,0.28183199101198453,0.28183199101198453,0.28183199101198453,,0,71,85.34640836692454
plus_dm_smooth,0.2780565498523128,0.2780565498523128,0.2780565498523128,0.2780565498523128,,0,72,85.62446491677684
ma_short,0.2766716943536616,0.2766716943536616,0.2766716943536616,0.2766716943536616,,0,73,85.90113661113051
atr_lag1,0.25602532789838894,0.25602532789838894,0.25602532789838894,0.25602532789838894,,0,74,86.1571619390289
ema_slow_lag5,0.25430070398399585,0.25430070398399585,0.25430070398399585,0.25430070398399585,,0,75,86.4114626430129
bb_lower_lag3,0.24928241525240397,0.24928241525240397,0.24928241525240397,0.24928241525240397,,0,76,86.6607450582653
ma_long_lag5,0.24702555654507694,0.24702555654507694,0.24702555654507694,0.24702555654507694,,0,77,86.90777061481039
