iter	Passed	Remaining
411	3903	5571
412	3912	5561
413	3922	5552
414	3931	5542
415	3940	5531
416	3949	5521
417	3959	5512
418	3967	5502
419	3977	5492
420	3987	5483
421	3995	5472
422	4003	5461
423	4013	5452
424	4022	5442
425	4031	5432
426	4040	5421
427	4049	5411
428	4059	5403
429	4068	5393
430	4077	5383
431	4087	5374
432	4097	5365
433	4107	5356
434	4116	5346
435	4125	5336
436	4133	5325
437	4142	5314
438	4151	5305
439	4160	5295
440	4170	5285
441	4178	5275
442	4187	5265
443	4196	5255
444	4205	5245
445	4214	5235
446	4223	5225
447	4233	5216
448	4242	5206
449	4251	5196
450	4261	5187
451	4270	5177
452	4279	5167
453	4288	5157
454	4298	5148
455	4307	5138
456	4315	5128
457	4325	5119
458	4334	5109
459	4344	5099
460	4354	5091
461	4363	5081
462	4374	5073
463	4384	5064
464	4393	5054
465	4403	5045
466	4412	5035
467	4421	5026
468	4431	5016
469	4440	5006
470	4449	4996
471	4458	4987
472	4468	4978
473	4477	4968
474	4487	4959
475	4496	4950
476	4505	4940
477	4515	4930
478	4524	4920
479	4532	4910
480	4541	4900
481	4551	4891
482	4560	4881
483	4569	4871
484	4579	4862
485	4588	4853
486	4598	4843
487	4607	4833
488	4617	4824
489	4627	4816
490	4637	4807
491	4646	4797
492	4655	4787
493	4665	4779
494	4675	4769
495	4684	4760
496	4694	4750
497	4703	4741
498	4712	4731
499	4722	4722
500	4731	4712
501	4740	4702
502	4750	4693
503	4759	4683
504	4768	4673
505	4777	4664
506	4787	4655
507	4797	4646
508	4805	4636
509	4814	4625
510	4823	4616
511	4832	4606
512	4843	4597
513	4852	4587
514	4861	4578
515	4870	4568
516	4878	4557
517	4887	4547
518	4896	4538
519	4905	4528
520	4914	4518
521	4922	4507
522	4931	4498
523	4941	4488
524	4951	4479
525	4961	4470
526	4970	4461
527	4980	4451
528	4988	4441
529	4997	4431
530	5007	4422
531	5017	4413
532	5025	4403
533	5034	4393
534	5044	4384
535	5054	4375
536	5063	4365
537	5072	4355
538	5081	4346
539	5089	4335
540	5098	4325
541	5107	4315
542	5116	4306
543	5126	4297
544	5136	4288
545	5145	4278
546	5155	4269
547	5165	4260
548	5174	4250
549	5184	4241
550	5194	4232
551	5204	4223
552	5214	4214
553	5224	4205
554	5233	4196
555	5243	4187
556	5253	4178
557	5263	4169
558	5272	4159
559	5282	4150
560	5292	4141
561	5301	4132
562	5312	4123
563	5322	4114
564	5332	4105
565	5342	4096
566	5352	4087
567	5361	4077
568	5370	4068
569	5379	4058
570	5389	4049
571	5398	4039
572	5407	4029
573	5416	4019
574	5425	4010
575	5435	4000
576	5445	3991
577	5454	3982
578	5465	3973
579	5474	3964
580	5483	3954
581	5492	3945
582	5502	3935
583	5512	3926
584	5522	3917
585	5532	3908
586	5540	3898
587	5550	3888
588	5559	3879
589	5569	3870
590	5578	3860
591	5588	3851
592	5597	3842
593	5606	3832
594	5615	3822
595	5625	3812
596	5633	3803
597	5643	3793
598	5653	3784
599	5662	3774
600	5671	3765
601	5681	3756
602	5691	3746
603	5700	3737
604	5710	3728
605	5720	3719
606	5729	3709
607	5739	3700
608	5748	3690
609	5757	3681
610	5766	3671
611	5776	3662
612	5785	3652
613	5794	3642
614	5803	3633
615	5813	3623
616	5822	3614
617	5833	3605
618	5842	3596
619	5851	3586
620	5861	3577
621	5871	3568
622	5880	3558
623	5890	3549
624	5899	3539
625	5909	3530
626	5918	3520
627	5928	3511
628	5937	3502
629	5946	3492
630	5956	3483
631	5965	3473
632	5974	3464
633	5984	3454
634	5993	3445
635	6002	3435
636	6011	3425
637	6019	3415
638	6029	3406
639	6037	3396
640	6047	3386
641	6056	3377
642	6066	3368
643	6075	3358
644	6084	3348
645	6093	3339
646	6102	3329
647	6111	3319
648	6120	3309
649	6128	3300
650	6138	3290
651	6146	3280
652	6156	3271
653	6166	3262
654	6174	3252
655	6184	3242
656	6193	3233
657	6203	3224
658	6212	3214
659	6222	3205
660	6232	3196
661	6241	3186
662	6251	3177
663	6261	3168
664	6270	3158
665	6279	3149
666	6288	3139
667	6298	3130
668	6308	3121
669	6318	3111
670	6327	3102
671	6337	3093
672	6346	3083
