iter	Logloss
158	0.6205467376
159	0.6204303344
160	0.6203389624
161	0.6202200494
162	0.6201551015
163	0.6200688471
164	0.6199841012
165	0.6198841407
166	0.6197722098
167	0.6196837615
168	0.6196200151
169	0.6195398082
170	0.6194562728
171	0.6193683852
172	0.6192909862
173	0.6192257669
174	0.619121263
175	0.6190309858
176	0.6189494216
177	0.6188737003
178	0.6188153875
179	0.6187313981
180	0.6186550627
181	0.6185626005
182	0.6184850547
183	0.6184157281
184	0.6183084652
185	0.6182443673
186	0.6181812707
187	0.6181143604
188	0.618024319
189	0.6179420651
190	0.6178686311
191	0.6178106965
192	0.6177133037
193	0.6176559209
194	0.6175727592
195	0.6175168271
196	0.617426225
197	0.6173451548
198	0.6172801936
199	0.6172139019
200	0.6171521625
201	0.6170634472
202	0.6170098335
203	0.6169585561
204	0.6169167528
205	0.6168399813
206	0.6167797371
207	0.6167118523
208	0.6166440209
209	0.6165478607
210	0.6164770878
211	0.6163880788
212	0.6162857154
213	0.6162121969
214	0.6161400578
215	0.6160764539
216	0.6160023524
217	0.6159539319
218	0.6158841247
219	0.6158052394
220	0.6157219576
221	0.6156568985
222	0.6156078817
223	0.615543054
224	0.61547666
225	0.6154155703
226	0.6153584055
227	0.6153073284
228	0.6152235748
229	0.6151582844
230	0.6151160004
231	0.615066196
232	0.6150179891
233	0.6149583501
234	0.6149037352
235	0.6148263273
236	0.6147661143
237	0.6147001741
238	0.6146245953
239	0.6145448912
240	0.614464889
241	0.61437588
242	0.6143014982
243	0.6142394518
244	0.6141733781
245	0.6141130716
246	0.6140610644
247	0.6139931129
248	0.6139259
249	0.6138630615
250	0.6137916344
251	0.6137354976
252	0.6136662511
253	0.6135766725
254	0.6135247409
255	0.6134664993
256	0.6134113904
257	0.6133521297
258	0.6132678733
259	0.6132272981
260	0.6131782724
261	0.6131300833
262	0.6130761938
263	0.6130104983
264	0.6129615572
265	0.6129114279
266	0.6128508366
267	0.612800467
268	0.6127554819
269	0.6126907521
270	0.6126233212
271	0.6125599086
272	0.6124982227
273	0.6124645584
274	0.6124211397
275	0.6123517196
276	0.6122973628
277	0.6122450174
278	0.6121775375
279	0.6121368823
280	0.6120591718
281	0.6119968807
282	0.6119537646
283	0.6118969024
284	0.6118461812
285	0.6117984015
286	0.6117362127
287	0.6116715185
288	0.6116208908
289	0.6115438657
290	0.6114971184
291	0.6114349741
292	0.6113891034
293	0.6113217748
294	0.611263591
295	0.6112223973
296	0.6111646185
297	0.6111010145
298	0.6110578984
299	0.6110206119
300	0.6109707851
301	0.61090177
302	0.6108477069
303	0.6108128189
304	0.6107572917
305	0.6106892645
306	0.6106355129
307	0.6105808668
308	0.6105161237
309	0.6104657808
310	0.6104256862
311	0.6103775906
312	0.6103332329
313	0.6102849103
314	0.61022415
315	0.6101629535
316	0.6101105324
317	0.6100517568
318	0.6100166729
319	0.6099749363
320	0.6099207842
321	0.6098673263
322	0.6098020358
323	0.6097505804
324	0.6096924189
325	0.6096276223
326	0.6095543486
327	0.6094892361
328	0.6094208573
329	0.6093892578
330	0.609317853
331	0.6092790045
332	0.6092508938
333	0.6091987487
334	0.6091487083
335	0.6090758529
336	0.6090278551
337	0.6089827054
338	0.6089299327
339	0.6088770578
340	0.6088419828
341	0.6087742538
342	0.6087148062
343	0.6086584023
344	0.6085927915
345	0.6085415853
346	0.6084743635
347	0.6084161441
348	0.608361854
349	0.6083235973
350	0.6082486058
351	0.6082042482
352	0.6081582307
353	0.6080990723
354	0.6080120747
355	0.6079590084
356	0.6079242094
357	0.607860334
358	0.6077959246
359	0.6077333976
360	0.6076814215
361	0.6076239408
362	0.6075814789
363	0.6075388567
364	0.6074911616
365	0.6074346109
366	0.6073781493
367	0.6073255813
368	0.6072759949
369	0.6072420458
370	0.6071828118
371	0.6071280545
372	0.6070626439
373	0.6069991646
374	0.6069509844
375	0.6069004902
376	0.6068390222
377	0.6067899832
378	0.6067310117
379	0.6066819282
380	0.6066334676
381	0.6065663793
382	0.6065081599
383	0.606485229
384	0.6064503099
385	0.6063924865
386	0.6063597389
387	0.6063146782
388	0.6062761322
389	0.6062174544
390	0.6061642368
391	0.6061203776
392	0.606085445
393	0.6060462138
394	0.6059867795
395	0.6059433163
396	0.6058839399
397	0.605846769
398	0.6058015169
399	0.6057387318
400	0.6056943831
401	0.6056464877
402	0.6055782335
403	0.6055300266
404	0.6054853263
405	0.6054325092
406	0.6054031881
407	0.605340225
408	0.6052648241
409	0.6052145746
410	0.6051508772
411	0.6051093809
412	0.6050619172
413	0.6049872728
414	0.6049414645
415	0.6048883981
416	0.6048462966
417	0.6047974445
418	0.6047554186
419	0.6046950365
420	0.6046337333
421	0.6045815169
422	0.6045324333
423	0.6044917603
424	0.6044531031
425	0.6043940293
426	0.6043449057
427	0.6042945672
428	0.6042666924
429	0.604234016
430	0.6041947225
431	0.6041497774
432	0.6041026652
433	0.6040334765
434	0.6039782876
435	0.6039163257
436	0.6038692936
437	0.603806375
438	0.6037429802
439	0.6036930956
440	0.6036503934
441	0.6036169694
442	0.6035758514
443	0.6035166752
444	0.6034769901
445	0.6034308213
446	0.6033921774
447	0.6033157975
448	0.6032635723
449	0.6032293295
450	0.6031639634
451	0.603129547
452	0.6030787146
453	0.6030158583
454	0.6029721414
455	0.6029311302
456	0.6028755719
457	0.602821669
458	0.6027854993
459	0.6027399224
460	0.6027000859
461	0.6026546291
462	0.6026051451
463	0.6025487546
464	0.602524511
465	0.6024863032
466	0.6024571646
467	0.6023878246
468	0.6023517529
469	0.6023048899
470	0.6022757379
471	0.6022177098
472	0.6021882775
473	0.6021326035
474	0.6020878453
475	0.6020575987
476	0.6019743613
477	0.6019192258
478	0.6018776939
479	0.6018168534
480	0.6017779915
481	0.6017454486
482	0.6017194205
483	0.6016809858
484	0.6016152014
485	0.6015712354
486	0.6015446466
487	0.6015036576
488	0.6014239936
489	0.6013872321
490	0.6013573503
491	0.6013028289
492	0.6012367463
493	0.6011957128
494	0.6011596855
495	0.601125158
496	0.6010809427
497	0.6010361
498	0.6009748457
499	0.6008984169
500	0.6008626878
501	0.600828178
502	0.6007926269
503	0.600741839
504	0.6006981488
505	0.6006527054
506	0.6006027407
507	0.6005472581
508	0.6005175899
509	0.6004526999
510	0.6003925848
511	0.6003308677
512	0.6002652879
513	0.6002304088
514	0.6001965176
515	0.6001463082
516	0.6000923607
517	0.6000507309
518	0.5999815512
519	0.5999559992
520	0.5999249783
521	0.5998524565
522	0.5997931246
523	0.5997429286
524	0.5996969155
525	0.5996384691
526	0.5995886335
527	0.5995543195
528	0.5995234098
529	0.5994913164
530	0.5994646964
531	0.5993961085
532	0.599348222
533	0.5993206898
534	0.5992655899
535	0.5992357837
536	0.5991962098
537	0.5991740622
538	0.5991299715
539	0.5990777062
540	0.5990349328
541	0.5989856712
542	0.5989315947
543	0.5988863248
544	0.5988477611
545	0.5988155475
546	0.5987740868
547	0.5987311087
548	0.5986799292
549	0.5986459489
550	0.5985902215
551	0.5985665519
552	0.5985240766
553	0.5984901987
554	0.5984562052
555	0.5984099117
556	0.5983712412
557	0.5983241068
558	0.5982713519
559	0.5982234343
560	0.5981819202
561	0.5981317152
562	0.5980934407
563	0.5980309048
564	0.5979776783
565	0.5979490381
566	0.5978858169
567	0.59785634
568	0.5978190178
569	0.5977593522
570	0.5977156442
571	0.5976912537
572	0.5976537669
573	0.5976242189
574	0.5975870524
575	0.5975578337
576	0.5975142548
577	0.5974761405
578	0.5974437801
579	0.5974192739
580	0.5973809104
581	0.5973179873
582	0.5972604354
583	0.5972294545
584	0.5971675994
585	0.5971143551
586	0.5970679104
587	0.5970018189
588	0.596957617
589	0.5969291637
590	0.5968832708
591	0.5968475016
592	0.5968102462
593	0.5967623997
594	0.5967069571
595	0.5966773379
596	0.5966346712
597	0.5965873944
598	0.59654212
599	0.5965015004
600	0.5964442644
601	0.5964114545
602	0.5963696824
603	0.5963149962
604	0.5962735088
605	0.5962417581
606	0.5961732102
607	0.5961306058
608	0.5960893365
609	0.5960610256
610	0.5960329549
611	0.5959905464
612	0.5959466382
613	0.5958927709
614	0.5958322908
615	0.595784075
616	0.5957410613
617	0.5957126035
618	0.5956892944
619	0.5956360234
620	0.5955968322
621	0.5955606358
622	0.5955270917
623	0.5954988475
624	0.5954373218
625	0.5953904721
626	0.5953313849
627	0.5953035501
628	0.5952517298
629	0.595207608
630	0.5951746291
631	0.5951281977
632	0.5950716203
633	0.5950036198
634	0.5949731373
635	0.5949449509
636	0.5949072327
637	0.5948407452
638	0.5948075081
639	0.5947711382
640	0.5947347728
641	0.5946927291
642	0.5946525545
643	0.5946093271
644	0.5945508318
645	0.5945123704
646	0.5944531097
647	0.5943769434
648	0.5943135575
649	0.5942879611
650	0.5942487477
651	0.5942198671
652	0.5941794611
653	0.5941362293
654	0.5940733463
655	0.5940209564
656	0.5939849914
657	0.5939439935
658	0.5939050827
659	0.5938704616
660	0.5938346213
661	0.5938029951
662	0.5937302553
663	0.5936840465
664	0.5936599007
665	0.5936263032
666	0.5935611774
667	0.5935194052
668	0.5934797734
669	0.5934303116
670	0.5933842185
671	0.5933390109
672	0.5932862338
673	0.5932234754
674	0.5931815475
675	0.5931399132
676	0.5930795444
677	0.5930293795
678	0.5929677959
679	0.5929348703
680	0.5928867435
681	0.5928460705
682	0.5928064076
683	0.5927721158
684	0.5927082271
685	0.5926574704
686	0.5925985479
687	0.5925492907
688	0.592513446
689	0.5924665251
690	0.5924247129
691	0.5923898026
692	0.5923648736
693	0.5923357261
694	0.5922875993
695	0.5922505886
696	0.592216595
697	0.5921639693
698	0.5921161451
699	0.5920911004
700	0.5920592473
701	0.5920127314
702	0.5919935608
703	0.5919594915
704	0.5919151294
705	0.5918415575
706	0.5918015831
707	0.5917649017
708	0.5917315445
709	0.5916882014
710	0.5916401147
711	0.5915837242
712	0.5915354506
713	0.591493091
714	0.5914734041
715	0.5914183264
716	0.5913775466
717	0.5913455866
718	0.5913118156
719	0.5912761132
720	0.5912283646
721	0.5911906731
722	0.591136254
723	0.591083468
724	0.5910277495
725	0.5909858438
726	0.5909324882
727	0.5908641984
728	0.5908193246
729	0.5907724438
730	0.5907321891
731	0.5907017733
732	0.5906477413
733	0.5906056487
734	0.5905777472
735	0.5905265899
736	0.5904756018
737	0.5904241775
738	0.5903880034
739	0.5903423731
740	0.5902940594
741	0.5902479751
742	0.5901976277
743	0.5901587303
744	0.5901234462
745	0.5900975382
746	0.5900590546
747	0.5900287011
748	0.5899778064
749	0.5899156888
750	0.5898597967
751	0.5898098899
752	0.5897877111
753	0.5897426859
754	0.5896950175
755	0.5896444921
756	0.5896001122
757	0.5895560883
758	0.5895260775
759	0.5895033825
760	0.5894648054
761	0.589415041
762	0.5893941749
763	0.5893468224
764	0.5892850919
765	0.5892334897
766	0.5892045068
767	0.5891843572
768	0.5891603627
769	0.5891089207
770	0.5890483472
771	0.5890005052
772	0.5889733646
773	0.5889346941
774	0.5889124174
775	0.5888738492
776	0.5888394417
777	0.5888071525
778	0.588735276
779	0.5886884619
780	0.5886449631
781	0.5886121177
782	0.5885669101
783	0.5885299394
784	0.5884942459
785	0.5884634875
786	0.5884070748
787	0.5883593618
788	0.5883200149
789	0.5882805522
790	0.588235042
791	0.5882081195
792	0.5881730312
793	0.588123654
794	0.5880697021
795	0.5880260342
796	0.5879733862
797	0.587939446
798	0.5878852538
799	0.587834279
800	0.5878044373
801	0.5877427335
802	0.5876843851
803	0.5876369658
804	0.5875966399
805	0.5875591308
806	0.5875177813
807	0.5874847801
808	0.5874601315
809	0.587418119
810	0.5873817358
811	0.587352784
812	0.5873231915
813	0.5872891134
814	0.5872343205
815	0.5871718513
816	0.5871463706
817	0.5871095112
818	0.5870646907
819	0.587017227
820	0.586985178
821	0.5869342878
822	0.5869023278
823	0.5868660736
824	0.5868131364
825	0.5867832235
826	0.586732569
827	0.5866892393
828	0.5866567054
829	0.5866172694
830	0.5865713276
831	0.586545206
832	0.5865196452
833	0.5864641937
834	0.5864307341
835	0.5863802265
836	0.5863488496
837	0.5863094359
838	0.5862628176
839	0.5862228655
840	0.5861951864
841	0.5861568585
842	0.5861075124
843	0.5860636754
844	0.5860177959
845	0.5859820535
846	0.5859519358
847	0.5859124643
848	0.585882805
849	0.5858478947
850	0.5858026648
851	0.58577297
852	0.5857441473
853	0.5857104741
854	0.5856565133
855	0.5855921707
856	0.5855326563
857	0.5855067974
858	0.5854622484
859	0.5854315923
860	0.5853834299
